ts,portfolio_return
2026-06-18,1.0013630353859646
2026-06-19,1.0014863271155539
2026-06-20,1.0017548282609265
2026-06-21,1.0134864207142589
2026-06-22,1.0166506692367179
2026-06-23,1.016924164670018
2026-06-24,1.0276337464880658
2026-06-25,1.0286366602459236
2026-06-26,1.0269833905507288
2026-06-27,1.0283326662644627
2026-06-28,1.0337741504835738
2026-06-29,1.0329042800352712
2026-06-30,1.0253227269034562
2026-07-01,1.036887830285428
2026-07-02,1.038359979176184
2026-07-03,1.038474574473091
2026-07-04,1.039218202766734
2026-07-05,1.0376745800484435
2026-07-06,1.0367134451025442
2026-07-07,1.0398991068683425
2026-07-08,1.0422443392423948
2026-07-09,1.0311747915835336
2026-07-10,1.031692664578131
2026-07-11,1.0299340379121138
2026-07-12,1.0334266938404708
2026-07-13,1.0360483295292
2026-07-14,1.0344344997361399
2026-07-15,1.0316953676248797
2026-07-16,1.0394645758709058
2026-07-17,1.0388781200876218
2026-07-18,1.039769376229887
2026-07-19,1.042567315573421
2026-07-20,1.0465273092699832
2026-07-21,1.047869083174309
2026-07-22,1.023410537988673
2026-07-23,1.0224418543557463
2026-07-24,1.022412844229856
2026-07-25,1.0254586829808978
2026-07-26,1.031735887558839
2026-07-27,1.0313730147686333
2026-07-28,1.0237186824316256
2026-07-29,1.0197612932824223
2026-07-30,1.0224847201412322
2026-07-31,1.027994353382618
2026-08-01,1.0282133525676826
2026-08-02,1.0184725487082074
2026-08-03,1.0155168469083913
2026-08-04,1.0156824208999047
2026-08-05,1.0201641978811846
2026-08-06,1.0166723712015486
2026-08-07,1.0187976164149297
2026-08-08,1.0183272194672068
2026-08-09,1.0181036851355028
2026-08-10,1.0198082777047168
2026-08-11,1.0224939339338912
2026-08-12,1.0221256547759563
2026-08-13,1.0209312296021016
2026-08-14,1.020144680833411
2026-08-15,1.0199105762941842
2026-08-16,1.0179829616019371
2026-08-17,1.0184198548002075
2026-08-18,1.0198753288481521
2026-08-19,1.0111052337018522
2026-08-20,1.0193656043728976
2026-08-21,1.0169032424599063
2026-08-22,1.019526742264917
2026-08-23,1.0200426786521997
2026-08-24,1.0202615017916483
2026-08-25,1.0187898360827763
2026-08-26,1.0278872047638763
2026-08-27,1.032372553725215
2026-08-28,1.0322913550842678
2026-08-29,1.0324275810106291
2026-08-30,1.0370570003916437
2026-08-31,1.0417484583633907
2026-09-01,1.0413317135388203
2026-09-02,1.0324315475125523
2026-09-03,1.045326548730822
2026-09-04,1.0461599400492696
2026-09-05,1.0460807213152716
2026-09-06,1.0457301300714748
2026-09-07,1.0474583931493848
2026-09-08,1.040201007426596
2026-09-09,1.0411224091984108
